

##########################
Quicklogic Open Platform 2.0
SW Version: OP2-QuickFeather-bootloader
May 14 2020 16:40:02
##########################

User button not pressed: proceeding to load application
ram init content size: 0x00001008, 4104
ram_block: [0], start:[0x40018000], size: [0x00000400, 1024]
addr: 0x40018194, read: 0x00030d86, write: 0x000198dd
addr: 0x40018198, read: 0x00030d86, write: 0x000198dd
addr: 0x4001819c, read: 0x00030d86, write: 0x000198dd
addr: 0x400181a0, read: 0x00030d86, write: 0x000198dd
addr: 0x400181a4, read: 0x00030d86, write: 0x000198dd
addr: 0x400181a8, read: 0x00030d86, write: 0x000198dd
addr: 0x400181ac, read: 0x00030d86, write: 0x000198dd
addr: 0x400181b0, read: 0x00030d86, write: 0x000198dd
addr: 0x400181b4, read: 0x00030d86, write: 0x000198dd
addr: 0x400181b8, read: 0x00030d86, write: 0x000198dd
addr: 0x400181bc, read: 0x00030d86, write: 0x000198dd
addr: 0x400181c0, read: 0x00030d86, write: 0x000198dd
addr: 0x400181c4, read: 0x00030d86, write: 0x000198dd
addr: 0x400181c8, read: 0x00030d86, write: 0x000198dd
addr: 0x400181cc, read: 0x00030d86, write: 0x000198dd
addr: 0x400181d0, read: 0x00030d86, write: 0x000198dd
addr: 0x400181d4, read: 0x00030d86, write: 0x000198dd
addr: 0x400181d8, read: 0x00030d86, write: 0x000198dd
addr: 0x400181dc, read: 0x00030d86, write: 0x000198dd
addr: 0x400181e0, read: 0x00030d86, write: 0x000198dd
addr: 0x400181e4, read: 0x00030d86, write: 0x000198dd
addr: 0x400181e8, read: 0x00030d86, write: 0x000198dd
addr: 0x400181ec, read: 0x00030d86, write: 0x000198dd
addr: 0x400181f0, read: 0x00030d86, write: 0x000198dd
addr: 0x400181f4, read: 0x00030d86, write: 0x000198dd
addr: 0x400181f8, read: 0x00030d86, write: 0x000198dd
addr: 0x400181fc, read: 0x00030d86, write: 0x000198dd
addr: 0x40018200, read: 0x00030d86, write: 0x000198dd
addr: 0x40018204, read: 0x00030d86, write: 0x000198dd
addr: 0x40018208, read: 0x00030d86, write: 0x000198dd
addr: 0x4001820c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018210, read: 0x00030d86, write: 0x000198dd
addr: 0x40018214, read: 0x00030d86, write: 0x000198dd
addr: 0x40018218, read: 0x00030d86, write: 0x000198dd
addr: 0x4001821c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018220, read: 0x00030d86, write: 0x000198dd
addr: 0x40018224, read: 0x00030d86, write: 0x000198dd
addr: 0x40018228, read: 0x00030d86, write: 0x000198dd
addr: 0x4001822c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018230, read: 0x00030d86, write: 0x000198dd
addr: 0x40018234, read: 0x00030d86, write: 0x000198dd
